recipe_id,cookingTime,description,name,openGraphImageUrl,portionsCount,carbohydrates,fats,proteins,calories
16922,7,"Тосканский салат, выдержанный в колористике итальянского флага. Буквально нескольких ложек хватает, чтобы в желудке образовалась приятная тяжесть. Очень полезная штука с точки зрения утра, когда трудно запихнуть в себя крупные дозы биомассы, а есть при этом хочется. Кроме рукколы в этом салате уверенно чувствуют себя листья корн-салата и щавеля, но идеальнее всего ведет себя зеленая черемша. Используя ее, можно, кстати, отказаться от чеснока. Этот салат вообще допускает множество сюжетных отклонений. Например, вместо соли можно использовать соевый соус: в сочетании с фасолью он очень уместен. А для пущего благообразия можно капнуть в миску немного бальзамического уксуса.","Салат из красной фасоли с творожным сыром, красным луком и сезонным салатом",https://s1.eda.ru/StaticContent/Photos/130829212936/130904132758/p_O.jpg,4,22.7,23.0,11.1,341300
21975,15,"Ленивые вареники — те же галушки, только сладкие и выступающие сольно. Готовятся не дольше
любой каши и в отличие от любой каши не вгоняют по утрам своим видом в тоску. Их можно подавать с любимым вареньем, домашним мармеладом, деревенской сметаной или любым сиропом. А можно просто полить растопленным сливочным маслом — все равно будет вкусно.",Завтрак для ленивых,https://s1.eda.ru/StaticContent/Photos/e/92/e92c282529d24be6a8313ed3cd54462f.jpg,3,8.3,2.3,8.1,86900
17380,5,,"Сэндвич с яичницей, беконом и сыром",https://s1.eda.ru/StaticContent/Photos/130829212936/130904171008/p_O.jpg,1,11.5,36.9,17.1,449400
47806,10,,Тост с авокадо и яйцом пашот,https://s1.eda.ru/StaticContent/Photos/170122183544/170208153415/p_O.jpg,1,35.5,48.5,14.9,627600
93826,15,,Мексиканский завтрак,https://s1.eda.ru/StaticContent/Photos/120131083714/170824150809/p_O.jpg,1,65.8,15.8,21.3,458500
27040,15,"Классика советской кухни и неизменный спутник всех столовых. Если добавить ко всем ингредиентам мясо, то получится среднеазиатский специалитет — салат «Ташкент», который подают практически в любом заведении Казахстана и Узбекистана. Рецепт терпит вольности: сметану можно заменить на пахучее масло или сделать салат более жирным, заправив его майонезом. Также можно добавить тертый сыр и грецкие орехи. Если редька очень сочная, лучше посолить ее, откинуть на сито и отжать лишнюю влагу через 10-15 минут. ",Салат из редьки,https://s1.eda.ru/StaticContent/Photos/d/211124174910/p_O.jpg,3,8.8,7.6,3.1,114300
24403,25,,Салат с моцареллой и руколой,https://s1.eda.ru/StaticContent/Photos/120214130615/120214131121/p_O.jpg,3,5.8,44.3,19.7,454700
18506,30,"Главный секрет идеальных сырников — а точнее творожников, — творог нужно протереть через мелкое сито и отжать от влаги. Жирность предпочтительна не больше и не меньше 9%. Тесто должно получиться эластичным, чтобы при надавливании сырник не треснул на сковородке, а сохранил форму. Если все сделать правильно, получатся нежные однородные кругляшки под плотной румяной корочкой. Сырники можно запекать в духовке или готовить на пару. В рецепте не исключаются эксперименты с начинкой — сухофрукты, орехи, свежие фрукты и даже картофель лишними не будут. Приятного аппетита!",Сырники из творога,https://s1.eda.ru/StaticContent/Photos/130924160547/131003203322/p_O.jpg,2,55.5,60.8,42.1,938300
17602,15,"Фриттата с брокколи и сладким перцем — классический итальянский омлет. Главный ингредиент здесь не яйца, а крупно нарезанные овощи, поэтому их должно быть много. Яйца только фиксируют конструкцию. Получается объемное, рельефное и красивое блюдо. Фриттата сначала жарится на сковороде, а потом отправляется в духовку — чтобы застыла серединка, и края при этом не пересушились. Если духовки нет, плотно накройте сковородку крышкой, а огонь убавьте. Существует немало разновидностей фриттаты. В Неаполе в нее добавляют даже макароны.",Фриттата с брокколи и сладким перцем,https://s1.eda.ru/StaticContent/Photos/130829212936/130904175947/p_O.jpg,4,13.7,28.8,15.3,377400
21742,20,"Салат с креветками и кунжутом прост и лаконичен, поскольку эти морепродукты сами по себе не нуждаются в лишнем сопровождении. Майонез в салате можно заменить на натуральный йогурт или оливковое масло, смешанное с лимонным соком. А дополнить блюдо — крупно нарезанным авокадо и тертым пармезаном. Сами креветки можно приготовить тремя путями: отварить, запечь или поджарить. Главное, не делать это долгое время. При каждой из этих обработок вкус креветок будет меняться по-разному, но менее привлекательным от этого не станет.",Салат с креветками и кунжутом,https://s1.eda.ru/StaticContent/Photos/131031145327/140806174529/p_O.jpg,2,15.3,33.5,35.2,500600
30893,10,"Главный ингредиент салата хориатики — фета, традиционный греческий сыр из овечьего или козьего молока. По консистенции он напоминает плотный творог, а во вкусе имеет приятную ненавязчивую кислинку. В отличие от соленой и резкой брынзы, которой в этом салате часто заменяют фету остальные европейцы, он не забивает собой вкус свежих овощей, оливок и оливкового масла.",Настоящий греческий салат,https://s1.eda.ru/StaticContent/Photos/130725133817/190726123035/p_O.jpg,3,10.0,33.4,19.0,424500
22649,30,"Есть продукты, к которым относятся религиозно. Хотя сами продукты к религии прямого отношения не имеют. Украинское сало, итальянские помидоры, луховицкие огурцы — таких примеров тысячи. Турецкий горох нут — один из них. Однако самое известное с ним блюдо, — хумус — не самый лучший показатель вкусовых качеств этого гороха. Из него также интересно делать супы и закуски, где он будет присутствовать в цельном виде. А самый главный его плюс состоит в том, что спустя некоторое время приготовленный нут становится еще вкуснее. 
",Нут с баклажаном,https://s1.eda.ru/StaticContent/Photos/120131084420/171007201419/p_O.jpg,2,45.6,43.5,13.9,621700
15911,20,"Если верить легенде о забывчивом поваре из Италии, прадед ризотто — простой рисовый суп, который случайно оставили на плите. Свой насыщенный вкус ризотто приобретает благодаря наваристому бульону. Рекомендуется использовать овощной бульон, но никто вам не помешает заменить его на куриный, грибной или даже рыбный. Рис должен полностью впитать его в себя и при этом не потерять структуры, поэтому в процессе готовки бульон доливается и аккуратно вмешивается по одному половнику. Ризотто со сливками и сладким перцем и слегка уловимым ароматом хереса сочетает в себе сразу несколько вкусов, но при этом они очень гармоничны между собой. Лучше использовать рис арборио — он остается внутри слегка твердым.",Ризотто со сливками и сладким перцем,https://s1.eda.ru/StaticContent/Photos/130829212936/130904200031/p_O.jpg,4,94.0,30.6,10.4,714500
31055,10,"Может стать отличным дополнением к бифштексу. В качестве томатов лучше использовать помидоры черри. Во-первых, они отлично переносят обжарку по причине своей плотности, во-вторых, зимой в наших краях только у помидоров черри действительно помидорный вкус.",Салат с обжаренными томатами,https://s1.eda.ru/StaticContent/Photos/130629211231/130712114123/p_O.jpg,4,6.8,15.6,3.5,181600
15671,20,"Кабачки тушатся с помидорами и чесноком, но тушатся недолго, чтобы каждый из ингредиентов остался верен себе и закуска не превратилась в икру. Есть полагается с холодной жирной сметаной.",Кабачки с помидорами и чесноком,https://s1.eda.ru/StaticContent/Photos/130829212936/130904191641/p_O.jpg,6,28.8,24.2,5.0,350600
31593,30,"Простое и понятное блюдо, которое прочно обосновалось в русской кухне — куриная печень в сметане. Кто-то добавляет морковь, но мы обошлись без нее. Подавать с картофельным пюре, гречкой, рисом и вообще с каким-угодно гарниром.",Куриная печень в сметане,https://s1.eda.ru/StaticContent/Photos/130907154434/190823113920/p_O.jpg,4,8.1,38.6,32.6,511200
17276,40,"Паэлья — блюдо средиземноморской кухни, испанский плов, в основе которого всегда круглый белый рис, заправленный шафраном. В ней часто одновременно сочетается куриное мясо, морепродукты и разнообразные овощи.  Свое название блюдо получило от специальной глубокой сковороды с толстыми стенками. В ней ингредиенты не просто обжариваются, а готовятся в собственном соку. Однако в домашних условиях, на обычной сковороде, паэлья получается не менее вкусной и ароматной. А если готовить ее на оливковом масле с добавлением различных специй и белого сухого вина, она приобретет по-настоящему испанский вкус. В этом рецепте золотистая паэлья готовится на курином бульоне с креветками, куриными бедрами, болгарским перцем, горошком и другими овощами. Подавать блюдо рекомендуется с холодным розовым каталонским или валенсийским вином.",Паэлья с креветками и курицей,https://s1.eda.ru/StaticContent/Photos/130829212936/130904170232/p_O.jpg,8,38.5,20.1,19.7,439300
50481,15,"Одно из самых простых азербайджанских блюд, лепешки с разной начинкой. Чаще всего это зелень, сыр или сыр с зеленью. Зелени может быть намного больше, все зависит от вкусовых предпочтений. ",Кутабы с зеленью,https://s1.eda.ru/StaticContent/Photos/150506002001/150512183050/p_O.jpg,4,58.1,31.9,7.9,547000
39152,30,"Популярная мексиканская лепешка, в которой всегда находится место кукурузе. В рецепте прописана куриная грудка, но если взять мясо бедра, вкус блюда получится интенсивней.",Кесадилья с курицей и с чеддером,https://s1.eda.ru/StaticContent/Photos/150506002001/150514141622/p_O.jpg,4,44.9,14.1,56.8,525800
23847,30,"Теплые салаты — сезонная штука, идеальная для ранней осени, когда еще не слишком холодно, чтобы мечтать о горячем рагу, и уже не так жарко, чтобы обходиться в обед салатником свежих овощей. Куриную печень не нужно долго жарить — всего трех-четырех минут на сковородке будет достаточно. А манго, если есть такая возможность, лучше купить заранее, за пару дней до использования, чтобы дать ему дома дозреть до идеальной кондиции.",Салат с манго и куриной печенью,https://s1.eda.ru/StaticContent/Photos/120131084230/120214130011/p_O.jpg,3,22.4,54.8,18.8,668900
19416,15,"Коулсло, а по-русски — капустный салат с майонезом. Классика быстрых хрустящих закусок. Один из тех салатов, который можно попробовать в любой части света. Салат-мем, проще говоря.",Коулсло,https://s1.eda.ru/StaticContent/Photos/160302171541/160309180028/p_O.jpg,8,13.0,21.0,4.2,253100
16911,30,,Тортилья с кинзой,https://s1.eda.ru/StaticContent/Photos/160312155529/160318130557/p_O.jpg,4,26.6,33.1,14.6,461200
69608,20,,Израильская шакшука,https://s1.eda.ru/StaticContent/Photos/160608133558/160615132227/p_O.jpg,4,11.4,29.2,20.0,392600
55603,15,,Паста с креветками в сливочно-чесночном соусе,https://s1.eda.ru/StaticContent/Photos/140321134811/200925113539/p_O.png,4,49.5,9.2,17.4,353300
36638,15,"Говядина в устричном соусе — типичное для Юго-Восточной Азии блюдо. Готовить его лучше всего, разумеется, в воке, соблюдая все правила: тонко нарезанные мясо и овощи быстро обжариваются на сильном огне. Соцветия брокколи удаются особенно хорошо — они остаются хрустящими и яркими. Входящий в рецепт устричный соус видом напоминает соевый, но он гораздо более насыщенный на вкус. Делают его из устричного экстракта, крахмала и сахара: китайские хозяйки делают его сами, но проще купить готовым, конечно.",Говядина с устричным соусом,https://s1.eda.ru/StaticContent/Photos/150615095301/150617122439/p_O.jpg,4,10.3,32.9,27.1,439100
50260,30,"Знаменитая азербайджанская яичница кюкю — один из лучших вариантов яичницы: содержательно похоже на итальянскую фриттату и французский омлет с травами, но из-за гораздо большего удельного веса трав в рецепте имеет куда как более интригующий вкусовой фронт.",Кюкю,https://s1.eda.ru/StaticContent/Photos/150420184224/150424171527/p_O.jpg,3,10.8,28.7,27.4,420800
92551,45,"Кесадилья, отличная мексиканская закуска. Перец — по вкусу.",Кесадилья с курицей,https://s1.eda.ru/StaticContent/Photos/120131082454/170512133728/p_O.jpg,6,41.2,23.8,37.2,534000
54990,30,"Знаменитый салат, без которого не обходится ни один праздничный стол. Оригинальный рецепт история не сохранила, так что теперь вариантов оливье столько же, сколько семей, и каждый из них замечателен по-своему. Попробуйте и наш способ.",Оливье,https://s1.eda.ru/StaticContent/Photos/120515204458/181206165726/p_O.jpg,8,18.0,7.4,13.3,188900
18154,15,,Классический французский омлет с сыром,https://s1.eda.ru/StaticContent/Photos/120131082543/170521082302/p_O.jpg,1,2.1,54.5,35.3,650000
124983,25,"Без омурайсу не обходится ни одно аниме, при этом заворачивать рис с курицей в омлет — скорее британское изобретение, которое пришло в Японию вместе с карри. Рецепт прост, как все гениальное: лук, курицу и рис обжаривают, а потом заворачивают в омлет. Важно, чтобы омлет был очень воздушным, а начинка — насыщенной: для этого в рис с курицей добавляют горошек, кетчуп и соевый соус. Лучше всего есть омурайсу, полив его сверху сладким кетчупом и слегка приправив соевым соусом. Эффект от омурайсу совершенно гипнотический — съев его один раз, почти невозможно не сделать себе вторую порцию.",Омурайсу,https://s1.eda.ru/StaticContent/Photos/120213182322/180620102722/p_O.jpg,2,156.1,57.2,43.8,1323700
33818,25,"Несложный в приготовлении, но очень вкусный суп — из корнеплодов с ароматом копченостей. Состоит из самых простых овощей: картофель, репа, морковь, лук, которые идеально отдают свой вкус бульону и делают его насыщенным. Суп из корнеплодов можно готовить с копченым беконом — он добавит блюду характерный аромат. Если заменить морковь на сладкий пастернак, а репу на брюкву, суп по современным меркам может стать ресторанным блюдом. Щепотка тертого пармезана — самый подходящий финиш для этого рецепта.",Суп из корнеплодов,https://s1.eda.ru/StaticContent/Photos/150615095301/150618150245/p_O.jpg,6,23.2,13.0,7.5,233600
35274,15,,Индейка с яблоками и луком,https://s1.eda.ru/StaticContent/Photos/120131082342/170428120255/p_O.jpg,2,16.9,30.4,31.1,465400
125574,15,"Терияки — это японская техника, обжаривание с глазированием: «тери» — это «блеск», а «яки» — жарить. Продукт в итоге должен приобрести карамельный блеск, который дает ему маринад из соевого соуса, саке (или мирина) и сахара. Для простоты можно использовать магазинный соус терияки — это специальный соус для техники терияки, в который уже входят все нужные ингредиенты.",Курица терияки,https://s1.eda.ru/StaticContent/Photos/120214134655/180927184521/p_O.jpg,4,20.0,14.3,37.0,382800
15230,30,,Банановые оладьи на молоке,https://s1.eda.ru/StaticContent/Photos/150116162013/150814200247/p_O.jpg,4,75.5,11.6,7.3,429200
34385,30,,Крем-суп из шампиньонов и картофеля,https://s1.eda.ru/StaticContent/Photos/160729115308/161117185931/p_O.jpg,4,29.7,26.1,9.6,381100
124925,20,"Пусть вас не пугает название, этот салат внешне похож на всем знакомый «Столичный» в несколько экзотическом виде, но целиком из привычных продуктов: кремовая мякоть авокадо нивелирует сухость куриной грудки, апельсиновые дольки служат агентами сочности, с такой композицией вмешательство жирного майонеза противопоказано — вместо него в роли заправки выступает легкий, как дыхание тропиков, лаймовый соус винегрет.",Кубинский салат с курицей и авокадо,https://s1.eda.ru/StaticContent/Photos/120131112204/180314142559/p_O.jpg,2,24.6,66.5,28.6,806500
29868,10,"Этот типичный английский сэндвич на родине зовут tuna melt — ­тунец в нем скрепляется плавящимся сыром. Если не нравится вкус тунцового сока, можно его слить и добавить вместо него столовую ложку оливкового масла",Сэндвичи с тунцом и сыром,https://s1.eda.ru/StaticContent/Photos/120131083619/150615155025/p_O.jpg,4,31.9,21.8,26.8,436300
41548,15,"Хороший способ поженить между собой ингредиенты, которые по разным причинам остались тосковать в холодильнике. Огурец освежит куриную грудку, а чернослив сделает вкус салата более замысловатым.","Салат с курицей, огурцом и черносливом",https://s1.eda.ru/StaticContent/Photos/170224233526/210628230535/p_O.jpg,4,16.6,4.8,19.6,185000
33485,40,,Спагетти с мясными шариками в томатном соусе,https://s1.eda.ru/StaticContent/Photos/120131085624/171212002239/p_O.jpg,4,83.8,28.0,35.6,740200
41324,20,"Приготовить шаурму дома проще, чем кажется. Нужно только обзавестись тонким армянским лавашом и узнать секрет вкусной начинки. В этом рецепте главная фишка — в морковке по-корейски и красном луке, которые придают довольно безликому куриному мясу пикантность и остроту. Преимущество домашней шаурмы перед покупной очевидно — по крайнем мере, вы точно будете знать, что туда добавили.",Домашняя шаурма с курицей,https://s1.eda.ru/StaticContent/Photos/170223141144/210830180201/p_O.jpg,2,126.1,12.7,46.1,812200
91363,20,,Салат с тунцом и молодым сыром,https://s1.eda.ru/StaticContent/Photos/160217102653/161202154527/p_O.jpg,4,10.0,45.8,52.6,613000
55953,15,"Глинтвейн на пиве из темного солода — вещь довольно простая (как, впрочем, многие горячие зимние напитки). Вообще, глинтвейн делают из вина, но здесь оно заменено темным пивом. Пряности же традиционные: корица, гвоздика, мускатный орех, мед, цедра лимона. Все это по-новому раскрывает вкус пива. Рецептура этого напитка универсальна: можно создавать собственные вариации, не меняя способа приготовления, а лишь варьируя составляющие —добавляя новые или заменяя некоторые из них на то, что больше по вкусу.
Видео предоставлено видеостудией Rambler.
",Глинтвейн на темном пиве,https://s1.eda.ru/StaticContent/Photos/151223165017/151230132652/p_O.jpg,4,23.2,0.4,1.5,140600
23565,20,,Паста со свежими помидорами,https://s1.eda.ru/StaticContent/Photos/131004132748/140204202912/p_O.jpg,1,136.3,56.2,45.4,1264800
40851,20,,Бризоль,https://s1.eda.ru/StaticContent/Photos/170304161224/210330203423/p_O.jpg,4,3.6,15.7,18.9,237600
29846,20,"Что делать, если остался вчерашний хлеб? Итальянцы решают вопрос изящно: готовят из него паппа-аль-помодоро. Хлеб заливают овощным бульоном с протертыми помидорами и варят на медленном огне, пока он полностью не растворится. Итог можно есть и как самостоятельное блюдо, и как заправку к пасте, и как намазку. Наша версия — с базиликом.",Паппа-аль-помодоро с базиликом,https://s1.eda.ru/StaticContent/Photos/120213175727/160329194910/p_O.jpg,4,85.2,29.8,21.2,669300
15217,30,,Творожная запеканка с ягодным сиропом,https://s1.eda.ru/StaticContent/Photos/120131085505/120213175049/p_O.jpg,4,64.9,24.4,25.8,574400
50259,15,"Левантийский, сирийско-ливанский салат, в котором свежесть овощей дополняется хрустом поджаренной питы. Главные ингредиенты, помимо хлеба, — зелень, помидоры и редис. И в отличие от табуле они должны быть нарезаны довольно крупно.",Фаттуш,https://s1.eda.ru/StaticContent/Photos/120213175333/180412181033/p_O.jpg,4,83.6,19.3,13.5,569200
16879,30,,Банановый пирог с молоком,https://s1.eda.ru/StaticContent/Photos/120131082312/120213175634/p_O.jpg,4,126.3,21.5,12.1,737600
126416,30,"Легенда советской кулинарии, звезда студенческих кухонь — сырный суп. Он прекрасен своей элементарностью — суп будет готов, как только сварится картошка. Это еще одна вещь, которую дружба делает лучше, даже если это сырок «Дружба».",Сырный суп,https://s1.eda.ru/StaticContent/Photos/121114213720/190408180645/p_O.jpg,6,37.2,12.9,13.7,309800
16207,30,,Драники с луком,https://s1.eda.ru/StaticContent/Photos/120213175433/140114142653/p_O.jpg,4,24.3,2.1,4.7,129500
38558,20,Курица по-китайски замечательна как самостоятельное блюдо. ,Курица по-китайски с овощами,https://s1.eda.ru/StaticContent/Photos/120131083308/141204062321/p_O.jpg,3,19.3,8.9,33.4,282600
17061,30,,Фахитас с курицей и фасолью,https://s1.eda.ru/StaticContent/Photos/120213175629/1202131757052/p_O.jpg,4,41.7,3.6,72.8,507400
